,Area,Location,Latitude,Longitude
18,Aarey Milk Colony,"Goregaon,Western Suburbs",19.148493,72.881756
52,Agripada,South Mumbai,18.9777,72.8273
53,Altamount Road,South Mumbai,18.9681,72.8095
0,Amboli,"Andheri,Western Suburbs",19.1293,72.8434
37,Amrut Nagar,"Ghatkopar,Eastern Suburbs",19.102077,72.912835
38,Asalfa,"Ghatkopar,Eastern Suburbs",19.091,72.901
83,Ballard Estate,"Fort,South Mumbai",18.95,72.84
12,Bandstand Promenade,"Bandra,Western Suburbs",19.042718,72.819132
19,Bangur Nagar,"Goregaon,Western Suburbs",19.167362,72.832252
36,Bhandup,Eastern Suburbs,19.14,72.93
10,Bhayandar,"Mira-Bhayandar,Western Suburbs",19.29,72.85
54,Bhuleshwar,South Mumbai,18.95,72.83
55,Breach Candy,South Mumbai,18.967,72.805
79,C.G.S. colony,"Antop Hill,South Mumbai",19.016378,72.856629
56,Carmichael Road,South Mumbai,18.9722,72.8113
57,Cavel,South Mumbai,18.9474,72.8272
1,"Chakala, Andheri",Western Suburbs,19.111388,72.860833
43,Chandivali,"Powai,Eastern Suburbs",19.11,72.9
22,Charkop,"Kandivali West,Western Suburbs",19.216182,72.830575
48,Chembur,Harbour Suburbs,19.051,72.894
84,Chira Bazaar,"Kalbadevi,South Mumbai",18.94814,72.825462
86,Chor Bazaar,"Kamathipura,South Mumbai",18.960321,72.827176
58,Churchgate,South Mumbai,18.93,72.82
59,Cotton Green,South Mumbai,18.986209,72.844076
60,Cuffe Parade,South Mumbai,18.91,72.81
61,Cumbala Hill,South Mumbai,18.965833,72.805833
62,Currey Road,South Mumbai,18.994,72.833
2,D.N. Nagar,"Andheri,Western Suburbs",19.124085,72.831373
80,Dagdi Chawl,"Byculla,South Mumbai",18.977129,72.829131
17,Dahisa,Western Suburbs,19.250069,72.859347
90,Dava Bazaar,South Mumbai,18.946882,72.831362
49,Deonar,"Govandi,Harbour Suburbs",19.05,72.89
91,Dharavi,Mumbai,19.040208,72.85085
63,Dhobitalao,South Mumbai,18.9433,72.8286
28,Dindoshi,"Malad,Western Suburbs",19.176382,72.864891
64,Dongri,South Mumbai,19.283333,72.783333
85,Fanas Wadi,"Kalbadevi,South Mumbai",18.951811,72.825309
3,Four Bungalows,"Andheri,Western Suburbs",19.124714,72.82721
16,Gorai,"Borivali (West),Western Suburbs",19.250057,72.782021
89,Gowalia Tank,"Tardeo,South Mumbai",18.96245,72.809703
82,Hindu colony,"Dadar,South Mumbai",19.020841,19.020841
44,Hiranandani Gardens,"Powai,Eastern Suburbs",19.118986,72.911767
15,I.C. Colony,"Borivali (West),Western Suburbs",19.247039,72.84983
45,Indian Institute of Technology BombayÂ campus,"Powai,Eastern Suburbs",19.133636,72.915358
34,Irla,"Vile Parle,Western Suburbs",19.108056,72.838056
20,Jogeshwari West,Western Suburbs,19.12,72.85
21,Juhu,Western Suburbs,19.1,72.83
65,Kala Ghoda,South Mumbai,18.9307,72.8331
30,Kalina,"Sanctacruz,Western Suburbs",19.081667,72.841389
40,Kanjurmarg,Eastern Suburbs,19.13,72.94
66,Kemps Corner,South Mumbai,18.9629,72.8054
27,Khar Danda,"Khar,Western Suburbs",19.068598,72.840042
13,Kherwadi,"Bandra,Western Suburbs",19.0553,72.8314
4,Lokhandwala,"Andheri,Western Suburbs",19.130815,72.82927
67,Lower Parel,South Mumbai,18.995278,72.83
68,Mahalaxmi,South Mumbai,18.983333,72.8
24,Mahavir Nagar,"Kandivali West,Western Suburbs",19.211319,72.842737
69,Mahim,South Mumbai,19.035,72.84
51,Mahul,"Trombay,Harbour Suburbs",19,72.883333
70,Malabar Hill,South Mumbai,18.95,72.795
50,Mankhurd,Harbour Suburbs,19.05,72.93
71,Marine Drive,South Mumbai,18.944,72.823
72,Marine Lines,South Mumbai,18.9447,72.8244
5,Marol,"Andheri,Western Suburbs",19.119219,72.882743
87,Matunga,South Mumbai,19.01798,72.844763
9,Mira Road,"Mira-Bhayandar,Western Suburbs",19.284167,72.871111
73,Mumbai Central,South Mumbai,18.9697,72.8194
42,Nahur,"Mulund,Eastern Suburbs",19.157,72.941
31,Naigaon,"Vasai,Western Suburbs",19.351467,72.846343
32,Nalasopara,"Vasai,Western Suburbs",19.4154,72.8613
74,Nariman Point,South Mumbai,18.926,72.823
81,Navy Nagar,"Colaba,South Mumbai",18.9012,72.8101
41,Nehru Nagar,"Kurla,Eastern Suburbs",15.451686,74.971977
14,Pali Hill,"Bandra,Western Suburbs",19.068,72.826
26,Pali Naka,"Khar,Western Suburbs",19.062742,72.829396
39,Pant Nagar,"Ghatkopar,Eastern Suburbs",19.08,72.91
88,Parel,South Mumbai,18.99,72.84
23,Poisar,"Kandivali West,Western Suburbs",19.204511,72.837639
75,Prabhadevi,South Mumbai,19.0166,72.8295
6,Sahar,"Andheri,Western Suburbs",19.098889,72.867222
7,Seven Bungalows,"Andheri,Western Suburbs",19.129052,72.817018
76,Sion,South Mumbai,19.04,72.86
29,Sunder Nagar,"Malad,Western Suburbs",19.175,72.842
25,Thakur village,"Kandivali East,Western Suburbs",19.210206,72.87298
92,Thane,Mumbai,19.2,72.97
11,Uttan,"Mira-Bhayandar,Western Suburbs",19.28,72.785
8,Versova,"Andheri,Western Suburbs",19.12,72.82
46,Vidyavihar,Eastern Suburbs,19.08,72.896
47,Vikhroli,Eastern Suburbs,19.11,72.94
35,Vile Parle,Western Suburbs,19.1,72.83
33,Virar,Western Suburbs,19.47,72.8
77,Walkeshwar,South Mumbai,18.947596,72.795957
78,Worli,South Mumbai,19,72.815
